asin,title,img_url,stars,review_count,price,list_price,category_id,is_best_seller,bought_in_last_month
B07VGV5VSZ,"OVERTURE PLA Plus (PLA+) Filament 1.75mm PLA Professional Toughness Enhanced PLA Roll, Cardboard Spool, Premium PLA 1kg(2.2lbs), Dimensional Accuracy 99% Probability +/- 0.03mm (White)",https://m.media-amazon.com/images/I/71uYxLWJ0aL._AC_UL320_.jpg,4.5,5358,24.99,0.0,157,0,600
B0BVQG2LVW,"Wireless Earbuds, Bluetooth 5.3 Earphones with 4 HD ENC Noise Canceling Mic, 42H Playtime, Bluetooth Sport Headphones Touch Control with LED Display, In Ear Wireless Headphones for Android iOS Black",https://m.media-amazon.com/images/I/71FbxVUAVyL._AC_UL320_.jpg,4.7,1609,29.99,49.99,71,0,0
B095QFR1TB,"JBL Tune 710BT Wireless Over-Ear Bluetooth Headphones with Microphone, 50H Battery, Hands-Free Calls, Portable (Blue)",https://m.media-amazon.com/images/I/61WaMevsRHS._AC_UL320_.jpg,4.5,5304,64.95,79.95,71,0,0
B0170RBJ9Q,"sephia SP3060 Earbuds - HD Bass Driven Audio, Lightweight Aluminum Wired in Ear Earbud Headphones, S/M/L Ear Bud Tips, Earphone Case, 3.5mm Tangle-Free Cord - for Music, Podcasts (Without Mic)",https://m.media-amazon.com/images/I/71R07jDtoGL._AC_UL320_.jpg,4.3,33881,14.95,19.99,71,0,0
B0B2SH4CN6,"SAMSUNG Galaxy Buds 2 Pro True Wireless Bluetooth Earbuds w/ Noise Cancelling, Hi-Fi Sound, 360 Audio, Comfort Ear Fit, HD Voice, Conversation Mode, IPX7 Water Resistant, US Version, Graphite",https://m.media-amazon.com/images/I/51146mqL2nL._AC_UL320_.jpg,4.5,3250,179.45,229.99,71,0,0
B095T14D4S,Raycon The Everyday Bluetooth Wireless Earbuds with Microphone- Stereo Sound in-Ear Bluetooth Headset True Wireless Earbuds 32 Hours Playtime (Matte Black),https://m.media-amazon.com/images/I/61RGAsH2ljL._AC_UL320_.jpg,4.4,24653,79.99,0.0,71,0,0
B098FH5P3C,"Bose QuietComfort 45 Wireless Bluetooth Noise Cancelling Headphones, Over-Ear Headphones with Microphone, Personalized Noise Cancellation and Sound, White Smoke",https://m.media-amazon.com/images/I/51BsejsSTqL._AC_UL320_.jpg,4.6,19197,329.0,0.0,71,0,0
B01N6ZJH96,OneOdio Wired Over Ear Headphones Studio Monitor & Mixing DJ Stereo Headsets with 50mm Neodymium Drivers and 1/4 to 3.5mm Jack for AMP Computer Recording Podcast Keyboard Guitar Laptop - Black,https://m.media-amazon.com/images/I/811RreTN3rL._AC_UL320_.jpg,4.4,67310,31.99,37.99,71,1,0
B09LD1T57H,TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Earbuds with Mic for TV Smart Phone Computer Laptop Sports,https://m.media-amazon.com/images/I/61zJ3-tanCL._AC_UL320_.jpg,4.5,54998,34.99,49.99,71,0,0
B0746RBK2M,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),https://m.media-amazon.com/images/I/715Sv8XftgL._AC_UL320_.jpg,4.7,37666,16.99,19.99,71,0,0
B0C6QK341D,"PIFFA Bluetooth Headphones Wireless Earbuds, 132Hr Playtime Sports Ear Buds with 1800mAh Digital Display Charging Case, IPX5 Waterproof Headset with Microphone Cordless Earphone for iPhone Android TV",https://m.media-amazon.com/images/I/71RE7wKOcbL._AC_UL320_.jpg,4.8,1161,18.89,29.99,71,0,0
B076GYVWRY,"ivoler Carrying Storage Case for Nintendo Switch/For Switch OLED Model (2021),Portable Travel All Protective Hard Messenger Bag Soft Lining 18Games for Switch Console Pro Controller Accessories Black",https://m.media-amazon.com/images/I/81sD-kvzBML._AC_UY218_.jpg,4.8,13751,30.99,35.99,251,0,0
B0CC6KHGJZ,"Joy Con for Switch Nintendo, Replacement for Switch Wireless Controller with Double Vibration, Wake-Up/Screenshot/Motion Control",https://m.media-amazon.com/images/I/61-whMg-+aL._AC_UY218_.jpg,4.8,5,36.99,0.0,251,1,300
B0BSBJMW8S,"NexiGo PS5 Wall Mount Kit with Charging Station, Dual Controller Chargers, Steel Wall Stand, and Headphone Hanger - Compatible with Playstation 5 (Disc & Digital)",https://m.media-amazon.com/images/I/61XpeOVPMML._AC_UY218_.jpg,4.6,879,49.99,59.99,251,1,0
B0897GCBWW,Tobii Eye Tracker 5,https://m.media-amazon.com/images/I/615pTffNC4L._AC_UY218_.jpg,4.2,1844,299.0,0.0,251,0,0
B07CTHLS2L,"PS4 Controller Charger Dock Station, 1.8 Hrs Fast Charging PS4 Charging Station, PS4 Charging Station with LED Indicator Charging Chip, Dual USB PS4 Charger Dock for PS4/PS4 Slim/PS4 Pro Charger",https://m.media-amazon.com/images/I/71AL6tJRwBL._AC_UY218_.jpg,4.6,13587,9.99,16.99,251,1,1000
B09B1L53CB,"amFilm Screen Protector Compatible with Nintendo Switch OLED model 2021, Tempered Glass, 3 Pack",https://m.media-amazon.com/images/I/71js3wN-DtL._AC_UY218_.jpg,4.7,14826,9.99,10.99,251,1,0
B01N0JETSO,"Screen Protectors Compatible Sony PlayStation Vita 1000 & Back Covers, AFUNTA 2 Pack (4 Pcs) Tempered Glass for Front Screen & HD Clear PET Film Compatible the Back PS Vita PSV PCH-1000 Film Accessory",https://m.media-amazon.com/images/I/61ph9j12tAL._AC_UY218_.jpg,4.5,783,7.99,0.0,251,0,0
B01MTMVF5U,"DS Lite Charger Kit,FIOTOK Ds Lite Stylus Pen Replacement for Nintendo DS Lite Systems,AC Adapter Charger Compatible with Nintendo DS Lite Power Adapter Fast Charging Portable Charger (100-240v)",https://m.media-amazon.com/images/I/61Y80L4sLXL._AC_UY218_.jpg,4.6,2651,9.99,15.99,251,1,0
B0BWDPMF5Z,"PPKKAI Controller with Wireless Adapter for Xbox One, Xbox Series X/S, Xbox One X/S, PC, 2.4GHZ Controller with 3.5mm Headphone Jack",https://m.media-amazon.com/images/I/61FvKQEkMsL._AC_UY218_.jpg,4.1,297,29.98,47.98,251,0,0
B07VPRVBFF,Valve Index VR Full Kit,https://m.media-amazon.com/images/I/61rt14PIodL._AC_UY218_.jpg,4.1,277,1361.96,0.0,251,0,50
B083GR7G54,"Tuboopy Wii Controller Charger Replaceable Wii Controller Charger, Wii Remote Charger Compatible Wii Charging Station Wii Remote Charging Station with 2 Rechargeable （Black）",https://m.media-amazon.com/images/I/61wQBJVb1SL._AC_UY218_.jpg,4.2,60,22.99,0.0,252,0,0
B0B2L9PMBN,"Wireless Sensor Bar for Infrared Ray U and Wii Consoles, Works with Motion Controllers, Includes Stand and IR Cable（Black）",https://m.media-amazon.com/images/I/41HsQWb1n8L._AC_UY218_.jpg,4.7,4,12.99,0.0,252,0,0
B094VK65VP,"Wireless Switch Controller for Nintendo Switch/Lite/OLED Controller, Switch Controller with a Mouse Touch Feeling on Back Buttons, Extra Switch Pro Controller with Wake-up,Programmable, Turbo Function",https://m.media-amazon.com/images/I/71fQOXATOML._AC_UY218_.jpg,4.5,4459,26.99,0.0,252,1,3000
